"","site","transect","quadrat","bare_rock","algae","mussels","small_barnacles","large_barnacles","gooseneck_barnacles","anemone","whelks","crabs","stars"
"392","Cape Meares",1,"Mid",5,15,15,1,40,40,10,1,1,0
"393","Cape Meares",1,"High",55,5,0,5,40,0,0,0,0,0
"394","Cape Meares",2,"Low",30,0,5,0,10,20,50,0,0,0
"395","Cape Meares",2,"Mid",0,10,40,5,30,30,0,3,0,0
"396","Cape Meares",2,"High",60,5,1,5,30,0,0,0,0,0
"397","Cape Meares",3,"Low",20,0,20,2,30,10,20,0,0,0
"398","Cape Meares",3,"Mid",0,15,80,5,50,50,0,4,0,0
"399","Cape Meares",3,"High",85,0,0,5,10,0,0,0,0,0
"400","Cape Meares",4,"Low",15,5,40,0,50,10,15,19,0,0
"401","Cape Meares",4,"Mid",0,20,60,5,60,30,0,6,0,0
"402","Cape Meares",4,"High",70,2,0,5,25,0,0,0,0,0
"403","Cape Meares",5,"Low",20,0,40,5,20,10,5,0,0,0
"404","Cape Meares",5,"Mid",5,2,85,10,50,10,3,2,0,0
"405","Cape Meares",5,"High",95,0,0,2,3,0,0,0,0,0
"406","Cape Meares",6,"Low",20,5,20,15,40,25,10,15,0,0
"407","Cape Meares",6,"Mid",0,70,40,10,70,15,0,6,2,0
"408","Cape Meares",6,"High",55,0,0,5,10,0,0,0,3,0
"409","Cape Meares",7,"Low",25,10,5,0,70,0,15,0,0,0
"410","Cape Meares",7,"Mid",10,75,40,3,35,20,0,6,0,0
"411","Cape Meares",7,"High",95,0,0,2,3,0,0,0,0,0
"412","Cape Meares",8,"Low",25,0,5,0,20,10,50,0,0,0
"413","Cape Meares",8,"Mid",0,25,40,2,60,35,3,1,1,0
"414","Cape Meares",8,"High",80,0,0,5,15,0,0,0,0,0
"415","Cape Meares",9,"Low",45,0,5,0,0,0,50,0,0,0
"416","Cape Meares",9,"Mid",5,20,45,25,40,5,5,1,1,0
"417","Cape Meares",9,"High",70,0,0,5,25,0,0,5,0,0
"418","Cape Meares",10,"Low",0,0,30,0,30,10,35,51,0,0
"419","Cape Meares",10,"Mid",0,0,60,0,90,15,5,2,0,0
"420","Cape Meares",10,"High",55,15,0,15,30,0,0,0,0,0
"421","Pyramid Point",1,"Low",40,10,15,0,1,30,5,6,0,0
"422","Pyramid Point",1,"Mid",0,0,75,0,5,25,0,7,1,0
"423","Pyramid Point",1,"High",65,10,0,15,10,0,0,0,0,0
"424","Pyramid Point",2,"Low",60,5,15,5,5,20,10,25,0,0
"425","Pyramid Point",2,"Mid",5,0,40,5,10,60,0,26,0,0
"426","Pyramid Point",2,"High",30,20,5,10,30,0,0,0,0,0
"427","Pyramid Point",3,"Low",60,0,15,20,0,25,5,28,0,0
"428","Pyramid Point",3,"Mid",20,0,70,10,10,20,1,7,0,0
"429","Pyramid Point",3,"High",40,20,15,10,15,0,0,0,0,0
"430","Pyramid Point",4,"Low",70,0,10,0,0,0,20,1,0,0
"431","Pyramid Point",4,"Mid",5,5,15,5,20,70,0,53,0,0
"432","Pyramid Point",4,"High",25,35,15,10,50,0,0,0,0,0
"433","Pyramid Point",5,"Low",30,0,20,20,5,35,15,23,0,0
"434","Pyramid Point",5,"Mid",10,0,80,0,0,15,10,45,0,0
"435","Pyramid Point",5,"High",20,15,5,10,50,0,0,0,0,0
"436","Pyramid Point",6,"Low",70,1,5,15,1,5,10,35,0,0
"437","Pyramid Point",6,"Mid",15,0,40,5,1,50,5,11,0,0
"438","Pyramid Point",6,"High",30,5,0,5,60,0,0,0,0,0
"439","Pyramid Point",7,"Low",60,0,20,50,20,0,5,34,0,1
"440","Pyramid Point",7,"Mid",10,0,85,10,5,5,0,7,0,0
"441","Pyramid Point",7,"High",30,5,25,10,50,1,0,0,0,0
"442","Pyramid Point",8,"Low",20,0,10,15,1,50,10,16,0,0
"443","Pyramid Point",8,"Mid",5,0,90,50,5,10,0,51,0,0
"444","Pyramid Point",8,"High",20,50,0,10,40,0,0,0,0,0
"445","Pyramid Point",9,"Low",80,0,5,10,5,5,0,11,0,0
"446","Pyramid Point",9,"Mid",0,0,95,40,5,5,0,35,0,0
"447","Pyramid Point",9,"High",40,10,5,0,40,5,0,0,0,0
"448","Pyramid Point",10,"Low",40,0,5,35,5,15,0,56,0,0
"449","Pyramid Point",10,"Mid",25,5,50,15,5,15,0,20,0,0
"450","Pyramid Point",10,"High",15,0,90,20,40,1,0,0,0,0
